d15N	NDFA	Type
0.151132068012832	96.9789096149578	Temaxcalapa
4.29383912489925	14.1672825250442	Temaxcalapa
2.08524961962926	58.3164072383366	Temaxcalapa
2.80885946469728	43.851636298583	Temaxcalapa
2.550954943741	49.0070800026538	Temaxcalapa
3.44544889905801	31.1263805361635	Temaxcalapa
1.9906527699204	60.2073734433809	Temaxcalapa
1.75661568061461	64.8857134511743	Temaxcalapa
1.85988960421195	62.8212948158189	Temaxcalapa
3.47704178265431	30.4948470825192	Temaxcalapa
1.4279131602993	71.4563905862177	Temaxcalapa
1.33282781478036	73.3571216943323	Temaxcalapa
0.824106126390217	83.526334765164	Temaxcalapa
0.958982992153129	80.8301816080036	Temaxcalapa
1.56466312922719	68.7227945882605	Temaxcalapa
1.54847617295571	69.04636759694	Temaxcalapa
3.45355130440088	30.9644155792956	Temaxcalapa
2.23393834505025	55.344158630613	Temaxcalapa
3.14562137772348	37.1198540178993	Temaxcalapa
0.951146368946661	80.9868336497017	Temaxcalapa
-0.716304894066691	114.318746885934	Temaxcalapa
6.5623433597538	-31.1795219120177	Choapam
6.1323256020726	-22.5835797654588	Choapam
-0.763613437811182	115.264432262414	Choapam
2.85003966770927	43.0284548453718	Diploperrenis
4.22664654498234	15.5104445673708	Diploperrenis
1.90184245794258	61.9826682774728	Diploperrenis
1.47489172494788	70.5173014052846	Diploperrenis
2.91243231082237	41.78124228033	Diploperrenis
3.11018175219956	37.8282828333557	Diploperrenis
1.93615229168797	61.2968237032306	Diploperrenis
1.26485048014648	74.7159707775445	Mexicana
2.8949805326465	42.1300987470102	Mexicana
1.79358560280147	64.14669440695	Mexicana
1.8702286254956	62.6146204931455	Mexicana
-0.0893758559378449	101.786599909463	Mexicana
1.39267680029328	72.1607561773047	Mexicana
-1.6041088017935	132.065714056453	Mexicana
4.72798156105961	5.48888913793387	Mexicana
2.35683786328889	52.8874295078067	Mexicana
4.62853007515889	7.47689824667791	Mexicana
-0.375526898572803	107.506684170475	Mexicana
4.14014740338196	17.2395397120302	Mexicana
1.93623990838341	61.2950722684779	Mexicana
-1.24569790792356	124.901174329035	Mexicana
2.35844809093933	52.8552414795712	Mexicana
1.78237484031183	64.3707946076009	Mexicana
1.10061698240973	77.9989553051713	Mexicana
-0.456147924144991	109.11827731805	Mexicana
1.84928835525368	63.0332110009038	Mexicana
1.42976911911498	71.4192904564649	Mexicana
2.4462397677698	51.1003088948021	Mexicana
