GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames22032:81FE7ABXX:3:G8,IP39,IP 39,NCRPIS,AMES 22032,95ncai01 SD,
Ames22033:81FE7ABXX:7:G11,Ill101Q,Ill 101Q,NCRPIS,AMES 22033,04ncai01 SD,
Ames22034:81FENABXX:3:H4,M23,M 23,NCRPIS,AMES 22034,04ncai01 SD,
Ames22035:81FE8ABXX:4:C12,M45,M 45,NCRPIS,AMES 22035,04ncai01 SD,
Ames22036:81FENABXX:7:B7,Ma32,Ma32,NCRPIS,AMES 22036,95ncai01 SD,
Ames22037:81FE8ABXX:5:F5,Me1,Me 1,NCRPIS,AMES 22037,01ncai01 SD,
Ames22038:81FE8ABXX:5:F10,Me100,Me 100,NCRPIS,AMES 22038,95ncai01 SD,
Ames22039:81FE8ABXX:6:A8,Me121Wa,Me 121 Wa,NCRPIS,AMES 22039,04ncai01 SD,
Ames22040:81N4HABXX:6:D11,Me123,Me 123,NCRPIS,AMES 22040,95ncai01 SD,
Ames22041:81FENABXX:2:E8,Me135,Me 135,NCRPIS,AMES 22041,95ncai01 SD,
Ames22042:81FENABXX:3:E11,Me244Wa,Me 244 Wa,NCRPIS,AMES 22042,95ncai01 SD,
Ames22043:81FE8ABXX:6:F12,Me244Wb,Me 244 Wb,NCRPIS,AMES 22043,95ncai01 SD,
Ames22044:81FE7ABXX:4:E8,NJ112,NJ 112,NCRPIS,AMES 22044,95ncai01 SD,
Ames22045:81FE7ABXX:6:B2,NJ116Wa,NJ 116 Wa,NCRPIS,AMES 22045,95ncai01 SD,
Ames22046:81FE7ABXX:4:B10,NJ116Wb,NJ 116 Wb,NCRPIS,AMES 22046,95ncai01 SD,
Ames22047:81N4HABXX:7:H4,NJ159,NJ 159,NCRPIS,AMES 22047,95ncai01 SD,
Ames22048:81FENABXX:3:A3,P39M96,P39M96,NCRPIS,AMES 22048,95ncai01 SD,
Ames22049:81FE7ABXX:4:F12,P51,P51,NCRPIS,AMES 22049,04ncai01 SD,
Ames22050:81FE7ABXX:6:H2,P51wx,P51wx,NCRPIS,AMES 22050,08ncai01 SD,
Ames22051:81N4HABXX:2:G7,W1736,W 1736,NCRPIS,AMES 22051,95ncai01 SD,
Ames22052:81FE8ABXX:4:E12,W3607,W 3607,NCRPIS,AMES 22052,95ncai01 SD,
Ames22053:81FENABXX:3:F4,W3647,W 3647,NCRPIS,AMES 22053,05ncai01 SD,
Ames22054:81FENABXX:7:E6,W3722,W 3722,NCRPIS,AMES 22054,95ncai01 SD,
Ames22055:81FENABXX:7:C7,W3742,W 3742,NCRPIS,AMES 22055,95ncai01 SD,
Ames22056:81N4HABXX:2:E8,W5543,W 5543,NCRPIS,AMES 22056,95ncai01 SD,
Ames22057:81FENABXX:1:E8,W5552,W 5552,NCRPIS,AMES 22057,95ncai01 SD,
Ames22058:81FENABXX:3:B8,W5579,W 5579,NCRPIS,AMES 22058,95ncai01 SD,
Ames22058:D0D0BACXX:3:D6,W5579,W 5579,NCRPIS,AMES 22058,10424,
Ames22059:81FE8ABXX:6:E2,W6366,W 6366,NCRPIS,AMES 22059,95ncai01 SD,
Ames22059:D0D0BACXX:3:H7,W6366,W 6366,NCRPIS,AMES 22059,10474,
Ames22060:81FENABXX:7:A6,W6462,W 6462,NCRPIS,AMES 22060,95ncai01 SD,
Ames22060:D0D0BACXX:3:D7,W6462,W 6462,NCRPIS,AMES 22060,10509,
Ames22061:81FENABXX:3:H7,W6714,W 6714,NCRPIS,AMES 22061,97ncai01 SD,
Ames22062:81FE8ABXX:6:D11,W6720-1,W 6720-1,NCRPIS,AMES 22062,95ncai01 SD,
Ames22062:D0D0BACXX:3:B6,W6720-1,W 6720-1,NCRPIS,AMES 22062,10408,
